market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933923,S39_Cross_Window_Momentum_Continuation,NO,1784201252.787822,0.720000,5,1784201399.920989,1.000000,0.036578,1.363422,cross_momentum sv=-0.020 lv=-0.030
2933933,S39_Cross_Window_Momentum_Continuation,NO,1784201473.774442,0.750000,5,1784201699.898366,0.000000,0.032959,-3.782959,cross_momentum sv=-0.020 lv=-0.030
2933981,S39_Cross_Window_Momentum_Continuation,YES,1784201869.713648,0.680000,5,1784201999.989534,1.000000,0.040247,1.559753,cross_momentum sv=0.010 lv=0.020
2934021,S39_Cross_Window_Momentum_Continuation,YES,1784202045.663067,0.740000,5,1784202299.922277,1.000000,0.034241,1.265759,cross_momentum sv=0.030 lv=0.030
2934049,S39_Cross_Window_Momentum_Continuation,NO,1784202634.950302,0.580000,5,1784202899.978167,0.000000,0.043022,-2.943022,cross_momentum sv=-0.020 lv=-0.020
2934267,S39_Cross_Window_Momentum_Continuation,YES,1784203059.343084,0.750000,5,1784203199.968853,1.000000,0.032959,1.217041,cross_momentum sv=0.020 lv=0.020
2934325,S39_Cross_Window_Momentum_Continuation,NO,1784203240.187463,0.720000,5,1784203499.906016,1.000000,0.036578,1.363422,cross_momentum sv=-0.010 lv=-0.020
2934344,S39_Cross_Window_Momentum_Continuation,NO,1784203756.013793,0.300000,5,1784203799.905116,0.000000,0.016537,-1.516538,cross_momentum sv=-0.050 lv=-0.120
2934361,S39_Cross_Window_Momentum_Continuation,NO,1784204125.513333,0.720000,5,1784204399.9051,0.000000,0.036578,-3.636578,cross_momentum sv=-0.040 lv=-0.030
2934379,S39_Cross_Window_Momentum_Continuation,NO,1784204493.094168,0.710000,5,1784204699.949445,1.000000,0.037625,1.412375,cross_momentum sv=-0.050 lv=-0.110
2934397,S39_Cross_Window_Momentum_Continuation,NO,1784205140.630804,0.730000,5,1784205299.994984,1.000000,0.035449,1.314551,cross_momentum sv=-0.020 lv=-0.020
2934447,S39_Cross_Window_Momentum_Continuation,NO,1784205410.883671,0.750000,5,1784205599.890878,1.000000,0.032959,1.217041,cross_momentum sv=-0.050 lv=-0.050
2934490,S39_Cross_Window_Momentum_Continuation,NO,1784205655.193087,0.620000,5,1784205899.915684,1.000000,0.043018,1.856982,cross_momentum sv=-0.050 lv=-0.020
2934493,S39_Cross_Window_Momentum_Continuation,NO,1784205947.888553,0.640000,5,1784206199.959226,0.000000,0.042467,-3.242467,cross_momentum sv=-0.020 lv=-0.030
2934513,S39_Cross_Window_Momentum_Continuation,YES,1784206359.649279,0.730000,5,1784206499.994437,1.000000,0.035449,1.314551,cross_momentum sv=0.010 lv=0.020
2934573,S39_Cross_Window_Momentum_Continuation,NO,1784206523.890917,0.750000,5,1784206799.91893,1.000000,0.032959,1.217041,cross_momentum sv=-0.020 lv=-0.020
2934577,S39_Cross_Window_Momentum_Continuation,YES,1784206819.659491,0.720000,5,1784207099.947875,1.000000,0.036578,1.363422,cross_momentum sv=0.060 lv=0.060
2934590,S39_Cross_Window_Momentum_Continuation,YES,1784207140.143325,0.630000,5,1784207399.957443,1.000000,0.042789,1.807211,cross_momentum sv=0.010 lv=0.020
2934605,S39_Cross_Window_Momentum_Continuation,YES,1784207436.295348,0.750000,5,1784207699.912184,1.000000,0.032959,1.217041,cross_momentum sv=0.030 lv=0.030
2934623,S39_Cross_Window_Momentum_Continuation,NO,1784207907.4091,0.720000,5,1784207999.954737,0.000000,0.036578,-3.636578,cross_momentum sv=-0.090 lv=-0.090
2934636,S39_Cross_Window_Momentum_Continuation,YES,1784208024.903682,0.710000,5,1784208299.989105,1.000000,0.037625,1.412375,cross_momentum sv=0.030 lv=0.060
